knob,knob_val,n_replicates,throughput_mean,throughput_ci95,throughput_cov_mean,latency_p95_mean,rebalance_freq_mean
window_s,300.0,3,7558.506666666665,304.67866872638035,0.08602982341439554,46.415,6.0
window_s,600.0,3,7528.408333333334,127.82217663767837,0.04195285758256714,44.95499999999999,4.0
window_s,900.0,3,7278.4766666666665,290.58886494332154,0.04995291828986222,47.10500000000001,2.0
window_s,1200.0,3,7233.293333333334,94.93490302994415,0.057289127991708745,46.48166666666666,2.0
wscale_threshold,0.65,3,7484.141666666666,148.32340994408654,0.05389401458622194,46.56,5.0
wscale_threshold,0.75,3,7528.408333333334,127.82217663767837,0.04195285758256714,44.95499999999999,4.0
wscale_threshold,0.85,3,7511.153333333333,102.40876432836218,0.05262360815311304,43.57,3.0
bolt_cap_threshold,0.6,3,7448.369999999999,273.33855946365463,0.0434011980302633,46.36833333333333,5.0
bolt_cap_threshold,0.7,3,7528.408333333334,127.82217663767837,0.04195285758256714,44.95499999999999,4.0
bolt_cap_threshold,0.8,3,7515.63,71.20582353635173,0.03537571835597437,44.13166666666666,3.0
